Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume EUR
2020-03-03 09-PM,BTCEUR,7800.1,7846.7,7795.3,7839,135.93,1064223.59
2020-03-03 08-PM,BTCEUR,7802.5,7821.3,7776.2,7800.1,305.3,2382267.98
2020-03-03 07-PM,BTCEUR,7805.6,7815,7770.1,7802.5,155.8,1213602.8
2020-03-03 06-PM,BTCEUR,7827.1,7831.3,7786.1,7805.6,133.29,1040839.19
2020-03-03 05-PM,BTCEUR,7799.3,7837.7,7785,7827.1,213.05,1665873.02
2020-03-03 04-PM,BTCEUR,7838.1,7876.6,7772.1,7799.3,252.14,1969842.91
2020-03-03 03-PM,BTCEUR,7869.7,7970,7771.8,7838.1,733.85,5760831.95
2020-03-03 02-PM,BTCEUR,7941,7941,7855,7869.7,260.9,2056517.7
2020-03-03 01-PM,BTCEUR,7924.2,7941,7885.7,7941,321.55,2548302.51
2020-03-03 12-PM,BTCEUR,7994.4,8025,7908,7924.2,301.97,2412247.37
2020-03-03 11-AM,BTCEUR,7966.4,8004,7960,7994.4,216.37,1727735.03
2020-03-03 10-AM,BTCEUR,7954.2,7995,7936,7966.4,363.07,2893500.88
2020-03-03 09-AM,BTCEUR,7917.9,7957.1,7900.1,7954.2,279.64,2217141.25
2020-03-03 08-AM,BTCEUR,7891.1,7924.4,7873.3,7917.9,230.9,1825871.18
2020-03-03 07-AM,BTCEUR,7899.7,7899.7,7862.8,7891.1,178.73,1408728.68
2020-03-03 06-AM,BTCEUR,7960,7960,7868.4,7899.7,139.61,1104974.06
2020-03-03 05-AM,BTCEUR,7954.7,7960,7929.9,7960,43.62,346496.48
2020-03-03 04-AM,BTCEUR,7991,7991,7937.2,7954.7,35.83,285178.45
2020-03-03 03-AM,BTCEUR,7975,7998.1,7968,7991,13.73,109566.39
2020-03-03 02-AM,BTCEUR,7944,7975,7930.2,7975,101.23,804844.56
2020-03-03 01-AM,BTCEUR,7968,7980,7944,7944,36.44,290171.97
2020-03-03 12-AM,BTCEUR,8005.7,8012,7929.5,7968,106.66,849152.36
2020-03-02 11-PM,BTCEUR,8027.2,8027.2,7986.2,8005.7,91.92,735540.76
2020-03-02 10-PM,BTCEUR,8045.1,8068.5,8024.2,8027.2,206.31,1659194.18
2020-03-02 09-PM,BTCEUR,7995,8049.9,7995,8045.1,342.01,2745918.34
2020-03-02 08-PM,BTCEUR,7980.2,7995,7960,7995,130.84,1043699.86
2020-03-02 07-PM,BTCEUR,7959,7981.5,7930,7980.2,191.29,1520663.63
2020-03-02 06-PM,BTCEUR,7948.4,7982.7,7942,7959,265.38,2113805.6
2020-03-02 05-PM,BTCEUR,7958.2,7995,7944.5,7948.4,339.9,2708152.46
2020-03-02 04-PM,BTCEUR,7950.1,7979.2,7941,7958.2,351.16,2796118.1
